20
B0001,Ky thuat lap trinh,Tran Minh Triet,Khoa hoc hoc va ky thuat,2010,Tin hoc,58000,19
B0002,Nhap mon lap trinh,Tran Minh Triet,Khoa hoc hoc va ky thuat,2000,Tin hoc,33000,28
B0003,Lap trinh huong doi tuong,Dinh Ba Tien,Khoa hoc hoc va ky thuat,2019,Tin hoc,300000,94
B0004,Vi tich phan 2B,Le Van Chanh,Khoa hoc tu nhien,2002,Toan,340000,29
B0005,Tieng Anh,Vu Mai Phuong,Giao duc,2014,Ngoai ngu,99000,99
B0006,Bi mat hanh trinh tinh yeu,David Niven,Tre,2020,Tinh yeu,25000,9
B0007,One Piece,Oda,Kim Dong,2018,Truyen tranh,26000,23
B0008,Dinh duong xanh,Victoria Boutenko,Gia Dinh,2005,Am thuc,78000,33
B0009,Mat biec,Nguyen Nhat Anh,Kim Dong,2008,Thieu nien,49000,90
B0010,Toi thay hoa vang tren co xanh,Nguyen Nhat Anh,Kim Dong,2008,Thieu nien,49000,90
B0011,Toi la ai,Tran Ngoc Sang,Tre,2020,Tu truyen,999000,20
B0012,Dong doi bat tan,Tran Ngoc Sang,Tre,2019,Tu truyen,999000,15
B0013,Code dao ky su,Pham Huy Hoang,Giao Duc,2014,Tu truyen,230000,20
B0014,Giai dieu cho trai tim,Cathy Hoskin,Tre,2015,Tinh yeu,55000,20
B0015,Nha gia kim,Paulo Coelho,Thanh Nien,2003,Tieu thuyet,290000,34
B0016,Naruto,Kisimoto,Kim Dong,2002,Truyen tranh,25000,22
B0017,Den luot em to tinh,Duong Thuy,Tre,2015,Tinh yeu,99000,10
B0018,De minh hoa 2020,Dang Viet Hung,Giao Duc,2020,Toan,120000,100
B0019,Lap trinh quy dao cuoc doi,Kien Tran,Tre,2017,Self help,320000,49
B0020,Dai Viet su ki toan thu,Ngo Si Lien,Giao duc,2008,Lich su,429000,34
